Ticker,Nome,Tipo,Setor,Preço,Target Price,Upside,Score,Rating,ROE,ROIC,Margem EBITDA,Dív. Líq./EBITDA,P/L,EV/EBITDA,Div. Yield,Cresc. Receita,Vol. Médio,Ret. 3m,Ret. 6m,Score Macro,Score Qualidade,Score Valuation,Score Momentum,Score Governança,Método Val.,NIM,Cost/Income,CET1 Proxy,NPL Proxy,P/BV,Cresc. Carteira,PDD/Lucro,Fonte CET1,Fonte NPL,Dados Ref.,Dados Fonte,P/VP,Spread CDI,Consist. Div.,Tipo FII
CMIG3,CEMIG       ON      N1,Ação,Utilities (Energia),15.2,46.64,2.0686,59.1,Neutro,0.17038,0.08970681100586377,0.2036443591962761,2.065357224902366,8.888888,7.962,0.092105,0.10361338553826949,82635.0,0.007014701341622187,0.11320718476886005,46.1,57.0,76.0,47,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
STOC34,STONE CO    DRN,BDR,BDR Tech (EUA),54.31,71.16,0.3103,58.8,Neutro,0.307,0.19350589243412583,0.426541895769952,2.2325748626200586,3.9212997,2.713,,0.14118205094594227,115963.3125,,,48.5,77.0,60.8,45,60.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
BEEF3,MINERVA     ON      NM,Ação,Alimentos & Bebidas,3.52,4.8,0.3636,58.3,Neutro,0.83755,0.1801735709986153,0.08865098699852154,2.6321537461374196,7.489362,3.625,0.034091,0.20964024206255472,15683095.0,-0.19182098609997456,-0.41731468460373156,45.3,67.0,74.0,30,100.0,Mult(100%),,,,,,,,,,,,,,,
LEVE3,METAL LEVE  ON      NM,Ação,outros,33.0,38.0,0.1514,58.2,Neutro,0.67697,0.2892380211498471,0.1914721450235098,1.0291307527126847,6.7346935,5.818,0.086364,0.0857619324834824,224775.0,0.0033406599830270167,0.05238365161319125,50.0,73.0,48.8,52,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
TTEN3,3TENTOS     ON      NM,Ação,outros,13.8,23.28,0.687,58.0,Neutro,0.15687001,0.05300754477912802,0.08642787670057661,1.512122525035841,9.857143,14.532,0.026812,0.33609701451603646,1249615.0,-0.08122504859167323,-0.19711718199921324,50.0,63.0,66.0,38,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
CLSC4,CELESC      PN      N2,Ação,outros,137.36,263.22,0.9163,57.8,Neutro,0.18175,0.09566109444219653,0.1463177535304822,2.8185710110419477,7.716854,5.895,0.057732,0.06345551146843142,3435.0,-0.025660916003913403,0.13828816072958472,50.0,47.0,76.0,47,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
CMIG4,CEMIG       PN      N1,Ação,Utilities (Energia),10.68,19.14,0.7921,57.8,Neutro,0.17038,0.08970681100586377,0.2036443591962761,2.065357224902366,6.245614,6.294,0.11985,0.10361338553826949,15299355.0,-0.0718072651845919,0.0003772364974479192,46.1,57.0,76.0,55,50.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
AMER3,AMERICANAS  ON      NM,Ação,outros,4.38,,,57.5,Neutro,0.04694,0.023097906534150982,0.15050792360828932,2.537257019438445,1.6653992,4.959,,-0.21890680631816417,1507415.0,-0.12399997711181643,-0.3848314347132903,50.0,32.0,100.0,30,100.0,N/A,,,,,,,,,,,,,,,
AURE3,AUREN       ON      NM,Ação,Utilities (Energia),11.29,25.3,1.2411,57.5,Neutro,-0.08761,0.028961254985995843,0.3278201969620896,4.8288853479813625,238.23592,12.801,0.005314,0.33681492275065694,2593045.0,-0.04966331202898788,-0.12412725669930291,46.1,50.0,76.0,48,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
PINE4,PINE        PN      N2,Banco,Bancos & Financeiro,13.25,29.68,1.24,57.4,Neutro,0.36486998,,,,6.134259,,0.06717,1.2487,1257530.0,0.14477314492442317,0.22942268519255915,51.5,60.0,40.0,80,100.0,DDM(35%) + RIM(25%) + P/BV(25%) + EDCF(15%),-0.0088,0.361,0.0447,,2.3973222,0.8308,,Proxy,Proxy,,Proxy,,,,
SUZB3,SUZANO S.A. ON  ATZ NM,Ação,Papel & Celulose,43.23,100.88,1.3336,56.9,Neutro,0.26295,0.051043583009497004,0.7553595751940226,2.2863710336592247,4.704026,6.214,0.025908,0.001901043550497361,6412110.0,-0.18655900112686763,-0.10837381488108566,45.6,57.0,76.0,33,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
SBFG3,GRUPO SBF   ON      NM,Ação,outros,10.05,18.36,0.8272,56.8,Neutro,0.111719996,0.09099555782221584,0.14633655157758513,1.9943716213828924,6.9791665,7.19,0.053731,0.07309644361097001,2294460.0,-0.08676820360353521,-0.29817007355762315,50.0,53.0,76.0,30,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
DIRR3,DIRECIONAL  ON      NM,Ação,Imobiliário & Construção,13.59,14.59,0.0734,56.8,Neutro,0.42945,0.16716722396895015,0.2886655976687126,1.4189141222180832,8.54717,7.239,0.19426,0.26164471424793234,6743040.0,-0.028591824522832265,-0.19821586032964067,44.7,83.0,38.8,53,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
CYRE3,CYRELA REALTON      NM,Ação,Imobiliário & Construção,21.83,33.14,0.5181,56.7,Neutro,0.21141,0.052519479509996074,0.34466196932899834,2.4598894061430086,4.851111,10.469,0.174072,0.20303103959208912,7564555.0,-0.19118191519711658,-0.38167699779547115,44.7,67.0,71.2,25,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
FLRY3,FLEURY      ON      NM,Ação,Saúde,14.93,16.79,0.1249,56.4,Neutro,0.11672,0.07989468160750192,0.2867201564264299,2.2082966487734352,12.87069,6.048,0.126591,0.22931134532154007,2265525.0,-0.039871374788052805,-0.02988954047337322,47.4,67.0,48.8,55,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
RECV3,PETRORECSA  ON      NM,Ação,Petróleo & Gás,10.18,14.71,0.4454,56.2,Neutro,0.12347,0.06584734032499602,0.5693770191306143,1.614022704644941,5.5628414,3.432,0.133595,0.019948183375135597,2594495.0,-0.20293096090670726,0.043277656694390876,44.7,63.0,67.0,35,100.0,DCF(18%) + Mult(81%),,,,,,,,,,,,,,,
GGPS3,GPS         ON      NM,Ação,outros,11.25,15.38,0.3672,56.2,Neutro,0.17129,0.14547498980023482,0.13545145305901543,1.0419413856043647,11.968085,6.074,0.047111,0.23306152860669838,3866455.0,-0.3401759235539108,-0.359541060021743,50.0,68.0,65.0,20,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
HAPV3,HAPVIDA     ON      NM,Ação,Saúde,10.31,14.48,0.4049,55.8,Neutro,-0.00885,0.02004371990287458,0.12816123258397505,3.602359587820838,6.4304876,5.391,,0.09962384207303487,6571340.0,0.1610360683273273,-0.33697747310899107,47.4,36.0,71.2,65,100.0,DCF(43%) + Mult(56%),,,,,,,,,,,,,,,
BMGB4,BANCO BMG   PN      N1,Banco,Bancos & Financeiro,5.15,14.92,1.8981,55.2,Neutro,0.1351,,,,5.15,,0.085437,0.6477,1074950.0,0.051176507630186885,0.24830189944082415,51.5,51.0,40.0,80,100.0,DDM(35%) + RIM(25%) + P/BV(25%) + EDCF(15%),0.1087,0.6092,0.0794,,0.67013663,1.4339,,Proxy,Proxy,,Proxy,,,,
